country,city,hotel_name,hotel_address
France,Paris,Crowne Plaza Paris R publique,10 Place De La R publique 11th arr 75011 Paris France
France,Paris,D clic Hotel,17 rue Duhesme 18th arr 75018 Paris France
France,Paris,Drawing Hotel,17 rue de Richelieu 1st arr 75001 Paris France
France,Paris,Duret,30 Rue Duret 16th arr 75016 Paris France
France,Paris,Edouard 7 Paris Op ra,39 Avenue de l Op ra 2nd arr 75002 Paris France
France,Paris,Eiffel Trocad ro,35 Rue Benjamin Franklin 16th arr 75016 Paris France
France,Paris,Elys es R gencia,41 Avenue Marceau 16th arr 75016 Paris France
France,Paris,Forest Hill Paris la Villette,28 av Corentin Cariou 19th arr 75019 Paris France
France,Paris,Four Seasons Hotel George V Paris,31 Avenue George V 8th arr 75008 Paris France
France,Paris,Francois 1er,7 Rue Magellan 8th arr 75008 Paris France
France,Paris,Franklin Roosevelt,18 rue Clement Marrot 8th arr 75008 Paris France
France,Paris,Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France
France,Paris,Golden Tulip Bercy Gare de Lyon 209,209 211 rue de Charenton 12th arr 75012 Paris France
France,Paris,Golden Tulip Opera de Noailles,9 rue de la Michodi re 2nd arr 75002 Paris France
France,Paris,Grand Pigalle Hotel,29 rue Victor Mass 9th arr 75009 Paris France
France,Paris,H tel Ad le Jules,2 4bis Cit Rougemont 9th arr 75009 Paris France
France,Paris,H tel Aiglon Esprit de France,232 Boulevard Raspail 14th arr 75014 Paris France
France,Paris,H tel Amastan Paris,34 rue Jean Mermoz 8th arr 75008 Paris France
France,Paris,H tel Arvor Saint Georges,8 rue Laferriere 9th arr 75009 Paris France
France,Paris,H tel Beauchamps,24 rue de Ponthieu 8th arr 75008 Paris France
France,Paris,H tel Bedford,17 rue de l Arcade 8th arr 75008 Paris France
France,Paris,H tel Bel Ami,7 11 Rue Saint Benoit 6th arr 75006 Paris France
France,Paris,H tel Belloy Saint Germain By Happyculture,2 Rue Racine 6th arr 75006 Paris France
France,Paris,H tel Brighton Esprit de France,218 rue de Rivoli 1st arr 75001 Paris France
France,Paris,H tel California Champs Elys es,16 rue de Berri 8th arr 75008 Paris France
France,Paris,H tel Chaplain Paris Rive Gauche,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France
France,Paris,H tel D Aubusson,33 Rue Dauphine 6th arr 75006 Paris France
France,Paris,H tel Da Vinci Spa,25 rue des Saints P res 6th arr 75006 Paris France
France,Paris,H tel De Castiglione,38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France
France,Paris,H tel De Vend me,1 Place Vend me 1st arr 75001 Paris France
France,Paris,H tel Diva Opera,11 rue de Tr vise 9th arr 75009 Paris France
France,Paris,H tel Duo,11 Rue Du Temple 4th arr 75004 Paris France
France,Paris,H tel Gustave,34 Rue Viala 15th arr 75015 Paris France
France,Paris,H tel Hor,160 Rue La Fayette 10th arr 75010 Paris France
France,Paris,H tel Horset Op ra Best Western Premier Collection,18 Rue d Antin 2nd arr 75002 Paris France
France,Paris,H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France
France,Paris,H tel Keppler,10 Rue Kepler 16th arr 75016 Paris France
France,Paris,H tel Le Bellechasse Saint Germain,8 Rue De Bellechasse 7th arr 75007 Paris France
France,Paris,H tel Le M,20 bis rue de la Ga t 14th arr 75014 Paris France
France,Paris,H tel Le Marianne,11 rue Paul Baudry 8th arr 75008 Paris France
France,Paris,H tel Le Walt,37 Avenue De La Motte Picquet 7th arr 75007 Paris France
France,Paris,H tel Madison by MH,143 Boulevard Saint Germain 6th arr 75006 Paris France
France,Paris,H tel Mathis Elys es,3 rue de Ponthieu 8th arr 75008 Paris France
France,Paris,H tel Mayfair Paris,3 Rue Rouget De Lisle 1st arr 75001 Paris France
France,Paris,H tel Moli re,21 rue Moli re 1st arr 75001 Paris France
France,Paris,H tel Pont Royal,5 7 Rue De Montalembert 7th arr 75007 Paris France
France,Paris,H tel Powers,52 rue Francois 1er 8th arr 75008 Paris France
