country,city,hotel_name,hotel_address
France,Paris,Best Western Bretagne Montparnasse,33 rue Raymond Losserand 14th arr 75014 Paris France
France,Paris,Best Western Ducs de Bourgogne,19 Rue Du Pont Neuf 1st arr 75001 Paris France
France,Paris,Best Western Le Jardin de Cluny,9 Rue du Sommerard 5th arr 75005 Paris France
France,Paris,Best Western Mercedes Arc de Triomphe,128 avenue de Wagram 17th arr 75017 Paris France
France,Paris,Best Western Nouvel Orl ans Montparnasse,25 avenue du General Leclerc 14th arr 75014 Paris France
France,Paris,Best Western Op ra Batignolles,165 rue de Rome 17th arr 75017 Paris France
France,Paris,Best Western Paris Gare Saint Lazare,18 rue de Constantinople 8th arr 75008 Paris France
France,Paris,Best Western Premier Kapital Op ra,34 rue de Moscou 8th arr 75008 Paris France
France,Paris,Best Western Premier Le Swann,15 rue de Constantinople 8th arr 75008 Paris France
France,Paris,Best Western Premier Marais Grands Boulevards,112 boulevard de S bastopol 3rd arr 75003 Paris France
France,Paris,Best Western Premier Op ra Faubourg Ex Hotel Jules ,49 Rue La Fayette 9th arr 75009 Paris France
France,Paris,Best Western Premier Op ra Opal,19 Rue Tronchet 8th arr 75008 Paris France
France,Paris,Best Western S vres Montparnasse,153 Rue De Vaugirard 15th arr 75015 Paris France
France,Paris,Buddha Bar Hotel Paris,4 rue d Anjou 8th arr 75008 Paris France
France,Paris,COQ Hotel Paris,15 rue Edouard Manet 13th arr 75013 Paris France
France,Paris,Castille Paris Starhotels Collezione,33 Rue Cambon 1st arr 75001 Paris France
France,Paris,Chambiges Elys es,8 rue Chambiges 8th arr 75008 Paris France
France,Paris,Chateau Frontenac,54 rue Pierre Charron 8th arr 75008 Paris France
France,Paris,Crowne Plaza Paris R publique,10 Place De La R publique 11th arr 75011 Paris France
France,Paris,D clic Hotel,17 rue Duhesme 18th arr 75018 Paris France
France,Paris,Drawing Hotel,17 rue de Richelieu 1st arr 75001 Paris France
France,Paris,Duret,30 Rue Duret 16th arr 75016 Paris France
France,Paris,Edouard 7 Paris Op ra,39 Avenue de l Op ra 2nd arr 75002 Paris France
France,Paris,Eiffel Trocad ro,35 Rue Benjamin Franklin 16th arr 75016 Paris France
France,Paris,Elys es R gencia,41 Avenue Marceau 16th arr 75016 Paris France
France,Paris,Forest Hill Paris la Villette,28 av Corentin Cariou 19th arr 75019 Paris France
